User ID,name,Gender,Age,EstimatedSalary,Purchased
10050,Robert Peters,Male,34,90599,1
10051,Julie Williams,Male,40,76213,0
10052,Mr. Robert Griffin DDS,Male,44,67325,1
10053,Mrs. Kelly Wright,Male,39,31272,0
10054,Jessica Miller MD,Female,27,20095,1
10055,Dr. David Moore DDS,Female,50,74144,1
10056,Jasmine Mccall,Male,46,33682,1
10057,Steven Wheeler DDS,Male,21,98446,0
10058,Willie Rice,Female,50,20246,1
10059,Jason Shepard,Female,58,133061,0
10060,Steven Miller,Male,38,21466,1
10061,Kimberly Martinez,Female,24,25984,0
10062,Ronald Anderson,Female,48,21064,1
10063,Tracie Butler,Female,56,107766,1
10064,Veronica Riley,Female,58,15501,0
10065,Emma Evans,Female,42,148868,1
10066,Justin Butler,Male,59,13053,1
10067,Jessica Carter,Male,56,105139,0
10068,Aaron Smith,Female,53,68971,0
10069,Briana Williams,Male,36,99977,1
10070,Erica Stone,Female,36,89359,1
10071,Charles Herring,Male,59,149905,0
10072,Timothy Lewis,Female,27,106050,0
10073,James Garcia,Male,32,77778,1
10074,Nathan Wilson,Female,29,80681,1
10075,Kimberly Hughes,Male,49,145826,0
10076,David Lindsey,Male,56,17743,0
10077,David Williams,Male,41,85569,0
10078,Charlene Crawford,Female,42,128055,1
10079,Christopher Velazquez,Female,33,31431,1
10080,Glen Wang,Male,34,96537,0
10081,Lisa Graves,Female,27,85145,0
10082,Matthew Martinez,Male,20,75539,1
10083,Nicole Martin,Male,57,148659,1
10084,Christopher Sanchez,Female,35,18184,1
10085,Susan Rodriguez,Female,21,51730,1
10086,Cheyenne Nelson,Male,37,134214,0
10087,Michael Newman,Female,53,41811,1
10088,Kari Ritter,Male,42,128716,0
10089,Austin Harrison,Male,51,92892,0
10090,David Lee,Male,39,106397,1
10091,Todd Greene,Female,27,147367,0
10092,Ricky Boone,Male,52,48234,0
10093,Ryan Edwards,Female,20,136157,1
10094,Richard Taylor,Female,22,30076,0
10095,Virginia Harris,Female,29,23615,1
10096,Christian Davidson,Female,50,31861,1
10097,Roberto Poole,Male,53,130557,0
10098,Jane Turner,Male,23,119944,0
10099,Stephen Roberts,Male,53,16526,1
10100,Shawn Maynard,Male,43,123249,0
10101,Christopher Holland,Male,58,120155,0
10102,Victor Shannon,Male,29,29623,0
10103,Kevin Clark,Male,42,46038,0
10104,Jessica Chapman,Female,46,128066,-1
10105,Christine Baker,Male,21,87951,1
10106,Lisa Cain,Female,20,21227,0
10107,Nancy House,Female,44,143425,1
10108,Diane Martin DVM,Female,56,37614,0
10109,Amanda Andrews MD,Male,27,135209,0
10110,Charles Harvey,Female,56,11501,1
10111,Cathy Green,Male,37,72423,0
10112,Anthony Harrison,Female,40,117974,1
10113,Zoe Arellano,Male,40,55470,0
10114,Angelica Ali,Male,27,94141,0
10115,Rhonda Hansen,Male,51,139980,0
10116,Richard Evans,Female,50,102396,1
10117,Mary Simmons,Male,22,91798,0
10118,Bianca Clarke,Male,54,25444,0
10119,Amy Soto,Female,48,92407,0
10120,Michael Russo,Male,27,43030,1
10121,Mark Knox,Female,48,29655,1
10122,Jill Good,Female,49,137973,0
10123,Joann Davis,Male,40,93442,0
10124,Anthony Underwood,Female,24,123521,0
10125,Trevor Snyder,Female,47,38572,1
10126,Daniel Tyler,Male,37,79331,1
10127,Ashley Jones,Female,21,43749,1
10128,Hannah Hatfield,Male,28,67285,0
10129,Danielle Oneill,Female,37,148270,0
10130,Christopher Wu,Female,34,95816,0
10131,Robert James,Male,51,89303,1
10132,Christopher Jones,Male,45,65505,-1
10133,Jody Glover,Male,22,64621,1
10134,Christina Henry,Male,25,76937,0
10135,David Brown,Female,53,110133,0
10136,Tanner Clark,Female,37,24805,1
10137,Heather Myers,Male,26,137411,0
10138,Michael Santos,Male,54,91362,0
10139,Mary Marshall,Male,21,23614,1
10140,Jeffrey James,Female,20,96658,1
10141,Michelle Thomas,Male,39,19250,0
10142,Meredith Bradley,Male,59,108811,1
10143,Johnathan Johnston,Male,50,42169,0
10144,Calvin Mack,Female,31,82842,1
10145,Jennifer Brewer,Female,43,29865,1
10146,Edwin Bernard,Male,49,23575,1
10147,Shannon Graves,Female,57,41282,1
10148,Peter Farmer,Female,43,60690,0
10149,Justin Duran,Female,45,146533,0
10150,Cassandra Williams,Male,37,50181,0
10151,Jennifer Duncan,Female,57,130765,1
10152,Ashley Ramirez,Male,37,123933,0
10153,Amanda Cooper,Male,34,93476,1
10154,Wendy Leblanc,Female,52,143837,1
10155,Duane Carrillo,Male,52,131840,0
10156,Michael Ross,Female,26,69830,1
10157,Brian Owen,Male,32,87222,-1
10158,Marisa Ryan,Male,37,108196,0
10159,Yolanda Chambers,Female,47,56051,0
10160,Sierra Robinson,Male,42,129178,1
10161,Sara Hartman,Male,56,79168,0
10162,Mrs. Jennifer Stuart,Male,46,55044,-1
10163,William Sanchez,Female,46,123981,0
10164,Joshua Davis,Female,29,9549,1
10165,Haley Parrish,Female,23,91417,1
10166,Brittany Reed,Male,34,124391,0
10167,Karen Vargas,Male,30,55411,1
10168,Ashley Johnson,Male,45,72529,0
10169,Dawn Sharp,Male,46,16674,0
10170,Mrs. Lisa Martin,Female,33,108826,0
10171,Seth Cox,Male,57,9920,1
10172,Brandy Fletcher,Male,42,94079,1
10173,Lisa Moore,Female,39,63239,0
10174,Alexa Beasley,Male,24,30820,1
10175,Michael Watson,Female,51,69104,1
10176,Alexander Morgan,Male,26,58539,1
10177,Adriana Dean,Female,53,55129,1
10178,Lisa Thompson,Male,28,144811,1
10179,Alvin Walls,Male,37,123938,0
10180,Keith Guzman,Male,54,58662,0
10181,Mary Evans,Male,58,26262,0
10182,Scott Floyd,Male,37,145190,1
10183,Ms. Katherine Hoffman DDS,Male,22,125859,-1
10184,Stephen Christian,Female,47,51702,1
10185,Alex Roman,Male,23,103031,1
10186,Jennifer Davis,Male,55,149964,1
10187,Whitney Wheeler,Female,59,27157,1
10188,Amber Johnson,Male,43,61518,0
10189,Kimberly Alvarado,Male,59,132907,1
10190,James Barnett,Female,57,68910,0
10191,Corey Joseph,Female,58,93067,0
10192,Stephanie Barnes,Male,21,134542,0
10193,Jacob Wise,Male,55,70357,0
10194,Trevor Maldonado,Female,32,114898,0
10195,David King,Female,49,27712,1
10196,Gloria Johnson,Male,43,124663,1
10197,Jeremy Freeman,Male,59,34347,1
10198,Angela Goodman,Male,56,13986,0
10199,Cindy Thomas,Female,56,43716,1
10200,Anna Morris,Female,43,124048,0
10201,Brian Lamb,Male,44,56031,0
10202,Mr. Keith King MD,Female,38,81399,-1
10203,Carla Johnson,Female,35,108262,1
10204,Lee Ho,Male,56,145207,1
10205,Anna Hughes,Female,50,92536,1
10206,Gina Jones,Female,52,123126,0
10207,Jennifer Crawford,Male,39,29898,1
10208,Robert Watts,Female,20,53784,1
10209,Steven Kane,Female,21,61195,0
10210,Brian Lowe,Male,39,78052,1
10211,Paul Hill,Female,52,33222,-1
10212,Cameron Hatfield,Female,45,148715,0
10213,Sean Jordan Jr.,Male,26,77274,1
10214,Richard Hawkins,Female,23,135841,0
10215,Stacey Weaver,Female,53,117625,1
10216,Anthony Lawrence,Female,57,108190,0
10217,Frank Rogers,Female,42,47711,1
10218,Derek Morales,Female,30,95666,1
10219,Elizabeth Graves,Female,49,119246,0
10220,Jennifer Velasquez,Male,30,122802,0
10221,Alexander Marsh,Male,38,22135,1
10222,Rachel Snyder,Female,56,102996,0
10223,Ian Duncan,Female,38,17051,1
10224,Pamela Ibarra,Female,58,68696,0
10225,Brian Swanson,Male,41,13276,1
10226,Kelly Graham,Female,36,62658,1
10227,April Nolan,Male,38,108593,1
10228,Mrs. Emily Carter,Female,57,105362,1
10229,Cindy Franklin,Male,29,123488,0
10230,Jill Walker,Female,24,37996,1
10231,Jennifer Baker,Female,39,58182,1
10232,Miss Rachel Jones DVM,Female,50,8656,1
10233,Eric Johnson,Male,59,28838,0
10234,Tyler Callahan,Female,42,141431,0
10235,Julie Smith,Male,48,25213,1
10236,Anthony Burns,Female,42,92426,1
10237,Katie Cannon,Female,38,10817,0
10238,Dawn Lopez,Female,25,147677,1
10239,Ryan Schneider,Female,58,98530,1
10240,Francisco Price,Female,53,15472,0
10241,Margaret Shaffer,Male,34,40112,0
10242,Matthew Sharp,Female,43,77062,0
10243,Eric Larson,Male,59,147796,0
10244,Kurt Smith,Male,54,118961,0
10245,Jeremiah Alexander,Male,40,132594,-1
10246,David Miller,Female,37,99783,0
10247,Nathan Bryant,Male,52,38126,-1
10248,Shannon Knight,Male,26,140986,1
10249,Taylor Ryan,Male,55,68986,0
10250,Gabriela Pratt,Female,48,59383,0
10251,Cindy Friedman,Male,44,30150,0
10252,John Clayton,Male,21,57225,0
10253,Jeffrey Cummings,Female,36,85517,1
10254,Brianna Holden,Male,43,29143,0
10255,Cory Martin,Female,20,94309,0
10256,Dr. Brian Whitehead,Male,29,132895,0
10257,Richard Fields,Male,58,111171,0
10258,Matthew Duran,Male,49,28897,0
10259,Phillip Harris,Male,58,49174,0
10260,Mr. John Johnson,Female,44,132977,0
10261,Andrea Lynch,Female,31,89773,1
10262,Beverly Hunter,Male,53,102929,0
10263,Robert Leon,Female,44,140010,1
10264,Patricia Dunn,Male,29,142269,0
10265,Sarah Warren,Male,50,74787,1
10266,Johnathan Snyder,Male,31,97433,1
10267,Tonya Martin,Female,31,24873,0
10268,Johnathan Sanchez,Female,47,84223,1
10269,Brian Murphy,Female,51,125378,1
10270,Robert Walters,Female,34,126254,1
10271,Paul Baxter,Female,50,96361,0
10272,Amber Byrd,Male,52,39478,0
10273,David Weiss,Female,29,60819,0
10274,Jacqueline Villanueva,Male,23,96608,1
10275,Dr. Rachel Reeves DVM,Female,30,58799,-1
10276,Sean Estrada,Female,26,127435,0
10277,Ronnie Stewart,Female,36,50224,0
10278,Peter Salas,Female,42,85614,1
10279,Jamie Norton,Female,58,13803,0
10280,David Kemp,Male,47,103870,1
10281,Jose Johns,Male,45,98538,0
10282,Terri Ellison,Male,29,113676,0
10283,Angela Dominguez,Male,26,42690,0
10284,Anthony Obrien,Female,36,56615,0
10285,Anna Moore,Female,21,126155,0
10286,Daniel Rowland,Female,35,60321,1
10287,Theodore Lindsey,Female,51,92497,1
10288,Rebecca Buchanan,Male,52,79412,1
10289,Jesse Mitchell,Male,43,12592,1
10290,Kevin Rocha,Female,51,56214,1
10291,Anita Pope,Female,46,41852,-1
10292,Lori Johnson DVM,Male,24,130378,0
10293,Douglas Rogers,Male,38,83694,1
10294,Elizabeth Smith,Male,39,94315,0
10295,Amy Henderson,Female,55,25496,0
10296,Michael Brown,Male,31,109167,0
10297,Kristen Lawrence,Male,22,111994,1
10298,Mallory Mckinney,Male,44,45852,1
10299,Henry Jones,Female,38,135861,1
10300,Michael Roach,Male,42,111054,1
10301,Kristin Davis,Male,58,41007,1
10302,Robert Harris,Male,50,14622,1
10303,Sean Wells,Male,37,149908,0
10304,Kerri Valdez,Male,30,73046,0
10305,Sheila Johnson,Female,57,52546,1
10306,Jade Hobbs,Female,30,105507,1
10307,Juan Martinez DVM,Male,23,86481,0
10308,Madison Harris,Female,36,14738,0
10309,Renee Johnson,Male,51,117474,0
10310,Thomas Leonard,Female,47,135618,0
10311,Angela Torres,Female,23,123417,0
10312,Peggy Rodriguez,Male,40,8364,0
10313,Timothy Griffin,Female,59,57305,0
10314,Jackson Reilly,Female,26,13406,0
10315,Steven George,Female,20,140863,0
10316,Mr. Rick Hebert,Male,59,60710,1
10317,Corey Williams,Female,28,74693,1
10318,Abigail Acosta,Female,42,33571,1
10319,Michael Haynes,Female,52,143678,0
10320,Mckenzie Scott,Male,21,38547,-1
10321,Bob Johnson,Male,39,92538,1
10322,Joshua Scott,Male,21,149338,0
10323,Cindy Stanley,Female,32,34335,0
10324,Dr. Heather Stevens,Male,48,74867,0
10325,Shannon Meadows,Male,25,34569,0
10326,Shannon Boyd,Female,44,39335,0
10327,Wendy Anderson,Male,30,108942,0
10328,Robert Jackson,Female,29,131705,1
10329,George Spence,Male,42,65915,1
10330,Natalie Jackson,Female,28,77674,1
10331,Cheryl Davis,Female,55,132775,1
10332,Cody Hobbs,Male,24,39199,0
10333,Brandon Callahan,Female,35,27496,0
10334,Marc Brady,Male,41,119526,0
10335,Holly Walton,Female,54,87806,1
10336,Thomas Casey,Female,31,64561,1
10337,Alex Mcgee,Female,25,60344,0
10338,Miss Angelica Barnett MD,Male,33,12798,0
10339,Megan Morgan,Female,59,66717,1
10340,Craig Parker,Female,52,39369,1
10341,Jeanette Peterson,Female,40,125526,1
10342,Maria Reid,Male,22,95725,1
10343,Michelle Turner,Male,40,99796,1
10344,Miranda Williamson,Male,38,32902,1
10345,Sandra Conrad,Female,56,67444,0
10346,Brittany Smith,Male,27,69398,0
10347,James Costa,Female,54,58254,1
10348,Amy Escobar,Male,23,53732,1
10349,Sarah Nelson,Male,26,49711,0
10350,Belinda Clark,Female,53,99439,0
10351,Brooke Aguilar,Male,52,136688,1
10352,Dawn Ayala,Female,43,89190,1
10353,John Crosby,Female,36,68634,1
10354,Gregory Manning,Male,59,117536,0
10355,Roberta Lynch,Male,21,82352,0
10356,Kerry Good,Male,56,47520,1
10357,Michelle Smith,Male,49,47683,1
10358,Peter Johnson,Female,38,36717,0
10359,Nicholas White,Male,36,124739,0
10360,Donald Wilson,Male,36,88285,1
10361,Douglas Scott,Female,55,67446,0
10362,Joseph Robbins,Female,36,93506,0
10363,Mrs. Courtney Bates MD,Female,48,47351,1
10364,Michelle Norton,Female,53,102687,1
10365,Gary Rivera,Male,52,106474,1
10366,Suzanne Smith,Female,51,136912,1
10367,Sue Smith,Female,30,37945,1
10368,Nathan Hernandez,Male,39,148798,0
10369,Lisa Mayo,Female,57,75914,1
10370,Seth Marquez,Male,41,54819,1
10371,Michael Wells,Female,40,81203,0
10372,Carrie Campos,Male,23,11360,1
10373,Doris Macdonald,Male,43,142240,1
10374,Tanya Chan,Female,21,89016,1
10375,Amy Thompson,Female,45,140465,1
10376,John Boyle,Female,57,24554,1
10377,Judy Phillips,Female,26,143782,1
10378,Jennifer Tate,Male,40,106718,-1
10379,Erica Wallace,Male,20,32283,0
10380,Justin Robinson,Female,42,33626,1
10381,Kimberly Martinez,Male,30,35205,0
10382,Kimberly Hodge,Female,55,49751,1
10383,David Chandler,Female,43,143614,1
10384,Meagan Stevens,Male,33,45619,1
10385,Bryan Medina,Male,58,94406,0
10386,Wanda Martinez,Male,45,13812,1
10387,Alison Morris,Female,24,69826,0
10388,Christy Norris,Female,47,136437,1
10389,Alexis Hicks,Male,41,119568,0
10390,Joshua Williams,Female,21,109736,0
10391,James Glass,Male,47,51957,0
10392,Anna Carlson,Female,55,70593,1
10393,Jeanette Gentry,Female,54,68696,1
10394,Nathan Mendoza,Male,46,132735,0
10395,Louis Smith,Male,39,73658,1
10396,Arthur Michael,Female,55,18531,1
10397,Oscar Lee,Female,30,116855,1
10398,Christopher Camacho,Male,39,55018,1
10399,David Reese,Male,32,43523,1
10400,Antonio Walters,Male,25,32978,0
10401,Christopher Roberts,Male,38,88042,1
10402,Michael Paul,Female,21,79385,0
10403,Michelle Cox,Male,28,23304,1
10404,Nicholas Lopez,Male,36,115495,1
10405,Anthony Rose,Male,23,59641,0
10406,Ana Hicks,Male,48,94026,0
10407,Shane Lynn,Male,55,82861,0
10408,Douglas Price,Male,52,33960,0
10409,Valerie Rivera,Male,45,46736,0
10410,Kristen Fernandez,Female,28,34795,0
10411,Michele King,Male,56,60010,0
10412,Michael Aguilar,Female,22,87026,0
10413,Maria Grimes,Female,21,94620,0
10414,Eduardo Smith,Female,41,129290,1
10415,Caleb Mcdonald,Female,23,8046,1
10416,Dawn Boone,Female,25,129832,0
10417,Emily Johnson,Female,25,123264,1
10418,Sheila Anderson,Female,52,96192,1
10419,Robert Andersen,Male,29,149025,0
10420,Wendy Solis,Female,27,63610,0
10421,Isaiah Smith,Female,32,90119,1
10422,Cynthia Manning,Female,25,132765,1
10423,Jack Huff,Female,28,10761,1
10424,Diane Smith,Female,21,139691,1
10425,Michael Moore,Male,33,142019,-1
10426,Jessica Barnes,Female,58,10258,1
10427,Sean Calhoun,Male,49,109207,0
10428,Nicole Fitzpatrick,Female,51,88743,0
10429,Diana Sanchez,Male,23,44712,1
10430,Rachel Ramirez,Female,41,54051,1
10431,Jennifer Diaz,Male,50,41658,1
10432,Sandra Andrews,Female,57,58718,0
10433,Anthony Long,Female,34,136616,0
10434,Lee Wilcox,Male,32,47714,1
10435,Angela Davis,Female,39,40974,1
10436,Michael Preston,Female,31,71684,1
10437,Aaron White,Male,42,140432,1
10438,Dr. Matthew Anderson,Male,31,54427,0
10439,Alyssa Bennett,Female,25,82156,0
10440,Gabriel Shannon,Female,51,40854,0
10441,Timothy Campbell,Female,53,61107,0
10442,Andrew Kelly,Female,51,43100,0
10443,Michael Taylor,Male,43,43067,1
10444,Christine Lee,Male,39,47619,0
10445,Angel Johnson,Male,40,117298,1
10446,Raymond York,Male,46,71393,1
10447,Lisa Larson,Male,54,18671,1
10448,Katelyn Smith,Female,49,108149,1
10449,Kaylee Evans,Male,46,106950,1
10450,Ann Matthews,Male,54,56349,1
10451,Zachary Ray,Female,25,60597,1
10452,Dean Phillips,Male,33,146256,0
10453,Cynthia Mitchell,Male,48,86191,0
10454,Michelle Richmond,Female,33,140564,0
10455,Michael Guerrero,Male,57,21668,0
10456,Cody Wood,Female,41,61894,1
10457,Patrick Browning,Female,34,75377,0
10458,Levi Barker,Female,45,102636,1
10459,John Hill,Male,23,88642,0
10460,Thomas Mccormick,Male,34,18993,0
10461,Debra Yates,Female,42,140171,0
10462,Trevor Horn,Male,50,52930,0
10463,Joshua Johnson,Female,33,55613,1
10464,Christopher Stone,Female,34,134385,1
10465,Mario Pruitt,Male,32,61261,1
10466,Ashlee Smith,Male,55,30949,1
10467,Michele Terry,Male,36,82139,1
10468,Jennifer Gonzales,Male,54,145022,1
10469,Sabrina Evans,Female,54,88386,-1
10470,Elizabeth Bright,Male,47,129239,0
10471,Jessica Tran,Female,47,54103,0
10472,Christina Washington,Female,32,105989,0
10473,Shane Hebert,Female,51,131728,1
10474,Charles Payne,Male,36,72918,1
10475,Peter Lowe,Male,39,94195,0
10476,Cathy White,Female,48,92364,1
10477,Miss Marissa Bartlett,Female,29,61061,0
10478,Billy Walters DDS,Female,37,86484,1
10479,Sheila Peterson,Female,55,56633,0
10480,Patricia Flowers,Female,22,8473,1
10481,Patricia Escobar,Female,56,141287,1
10482,Marie Thompson,Female,49,11934,0
10483,Cathy Ellis,Male,59,119077,0
10484,Toni Stevens,Female,37,104152,0
10485,John King,Male,46,47400,0
10486,Ashley Neal,Female,43,130416,-1
10487,Shelby Castro,Male,26,106807,1
10488,Sheri Palmer,Female,28,108144,1
10489,Jeffery Smith,Male,45,92035,1
10490,Randall Petersen,Female,36,81645,1
10491,Brian Williamson,Female,55,93422,1
10492,George Phillips,Male,25,85489,0
10493,Robert Hooper,Male,58,46602,0
10494,Douglas Allen,Male,30,33282,0
10495,Donna Manning,Male,55,14946,1
10496,Michelle Sanders,Male,30,125258,0
10497,Jessica Vaughn,Male,48,140818,0
10498,Heather Mathews,Male,27,122293,0
10499,David Schwartz,Male,33,101934,0
10500,Nicole Campbell,Male,33,72142,0
10501,Dennis Harrison,Female,22,18578,1
10502,Isaiah Hester,Male,24,122666,0
10503,Timothy White,Male,21,112870,0
10504,Danny Arias,Male,39,86122,1
10505,Stephanie Graves,Male,34,8200,1
10506,Carlos Robertson,Male,25,126012,1
10507,Jennifer Jordan,Male,21,82519,0
10508,Karen Lin,Female,46,126027,1
10509,Walter Gray,Female,31,45088,0
10510,Jason Romero,Female,57,12729,0
10511,Heather Daniel,Female,48,69166,1
10512,Jerry Costa,Female,22,129219,1
10513,Jennifer Nguyen,Female,41,28668,1
10514,Anthony Sanders,Female,57,84719,0
10515,Lisa Oliver,Female,56,140159,1
10516,Russell Moore,Female,23,97030,1
10517,Trevor Medina,Female,55,35888,1
10518,Julian Everett,Female,57,22312,1
10519,Daniel Escobar,Female,37,41710,0
10520,Cody Wood,Female,49,119029,1
10521,Stephen Johnson,Female,52,148317,1
10522,Jason Rowland,Female,52,39340,1
10523,Bobby Carlson,Female,56,136588,1
10524,Matthew Mccann,Male,39,63874,-1
10525,Holly Jenkins,Male,37,118589,1
10526,Edwin Berry,Female,33,8223,0
10527,Hayley Mitchell,Male,59,95498,0
10528,William Roberts,Female,37,9376,0
10529,Mark Owens,Female,56,80012,1
10530,Dustin Martinez,Male,57,98244,0
10531,Kristina Garcia,Female,37,96026,1
10532,Jeffrey Davidson,Female,58,128110,0
10533,Stephen Gomez,Female,36,66092,0
10534,Patrick Brooks,Female,23,57981,0
10535,Sean Diaz,Male,28,31159,0
10536,Erin Price,Male,58,80306,0
10537,Michael Mosley,Male,21,147937,1
10538,Gabrielle Hall,Male,47,24227,0
10539,Jordan Hernandez,Female,48,133395,1
10540,Christopher Taylor,Female,44,24088,0
10541,Linda Hood,Female,30,126886,1
10542,Andrew Stone,Male,29,18949,0
10543,Corey Cobb,Male,55,39934,1
10544,Jesse Rasmussen,Male,29,144981,1
10545,Adam Kemp,Male,44,26135,0
10546,Mr. Peter Adams,Female,51,112634,0
10547,Darius Conner,Female,22,122979,1
10548,Mario Alvarado,Male,43,29217,0
10549,Sheryl Johnson,Male,23,86733,0
10550,Joseph Boone,Male,42,111793,0
10551,Joseph Brown,Male,51,32066,0
10552,Kayla Johnson,Male,47,114715,0
10553,Jeremy Hawkins,Female,39,102619,0
10554,Andrew Kelly,Female,55,69946,0
10555,Ashley Wallace,Male,30,87167,1
10556,Robert Morgan,Female,56,133234,1
10557,Holly Sanchez,Female,25,118600,0
10558,Catherine Alvarez,Female,32,96353,1
10559,Elijah Wolf,Female,53,37326,0
10560,Dawn Cooper,Male,32,14708,0
10561,Pamela Butler,Male,49,101271,1
10562,Courtney Clark,Female,45,109599,1
10563,Ryan Thomas,Male,55,97724,1
10564,Shelly Barrett,Male,47,120916,0
10565,Elizabeth Barrera,Male,25,74798,1
10566,Kathryn Gray,Male,58,32543,0
10567,Andrew Weaver,Female,23,42980,1
10568,Leslie Guzman,Female,39,137979,1
10569,Keith Burns,Male,28,83474,1
10570,Patricia Hines,Male,30,31113,0
10571,Nicholas Williams,Male,37,54813,0
10572,Rhonda Smith,Male,30,41496,1
10573,Erin Nelson,Female,23,36054,1
10574,Thomas Davis,Male,23,65581,0
10575,Crystal Dudley,Male,26,70013,0
10576,Debra Barnes,Male,52,57096,0
10577,Kevin Martinez,Female,28,145218,0
10578,Mrs. Anna Collins,Female,36,13723,1
10579,Jonathan Ross,Female,58,24822,1
10580,Christine Mcgee,Female,25,112130,1
10581,Casey Black,Male,34,44188,1
10582,Dr. Jessica Durham PhD,Male,33,13705,0
10583,Theresa Powell,Male,44,81042,0
10584,Michael White,Male,31,112736,1
10585,Catherine Abbott,Male,24,47273,0
10586,Cindy Johnson,Female,25,93812,1
10587,Richard Mercer,Female,41,11209,0
10588,Kimberly Morrison,Female,31,70043,0
10589,Peggy Vasquez,Male,23,40093,1
10590,Tiffany Jarvis,Male,21,50545,1
10591,Jacqueline Keith,Male,55,63468,1
10592,Shelly Horne,Female,41,8585,1
10593,Mrs. Karen Kim,Female,34,130661,1
10594,Nancy Jones,Male,43,126882,0
10595,Sara Rodriguez,Female,37,145213,0
10596,Jennifer Collins,Male,52,85178,-1
10597,Regina Munoz,Male,23,44104,1
10598,Kimberly Rodriguez,Female,29,52853,1
10599,Kenneth Whitehead,Female,55,149679,0
10600,Carlos Taylor,Female,59,135183,1
10601,Anne Brooks,Female,32,73317,1
10602,Amanda Franco,Female,40,95057,0
10603,Justin Montgomery,Female,42,145425,0
10604,Paul Morris,Female,21,103502,0
10605,William Molina,Female,54,11230,1
10606,Alec Lawson,Male,22,48262,1
10607,Barbara Benitez,Female,51,34059,1
10608,Susan Warner,Male,39,125741,1
10609,Shane West,Male,45,41201,0
10610,Eddie Lewis,Female,40,145757,1
10611,Jacob Sanchez,Female,36,143052,0
10612,Aaron Bates,Female,40,86321,-1
10613,Kendra Murray,Male,54,12308,1
10614,Dominic Moreno,Male,20,31974,0
10615,Roy Lee,Male,37,137782,1
10616,Joseph Walker,Male,48,26234,0
10617,Jeffrey Garcia,Male,38,118549,0
10618,Troy Salazar,Female,41,59517,1
10619,Victor Collins,Male,58,85940,1
10620,Darlene Williams,Female,58,101363,0
10621,Matthew Johnson,Male,45,29462,0
10622,Victoria Douglas,Female,37,104525,1
10623,Maria James,Female,46,88883,0
10624,Tammy Harris,Female,41,9529,-1
10625,Mrs. Rachel Franklin MD,Female,48,105639,0
10626,April Leonard,Male,49,68772,1
10627,Dr. Margaret Bennett,Female,31,97187,0
10628,Robin Schultz,Male,21,54973,0
10629,Kristen Armstrong,Female,49,62392,-1
10630,Audrey Rivera,Female,41,26497,1
10631,Christopher Haynes,Female,50,122008,0
10632,Brittany Smith,Female,43,138762,0
10633,Robert Fowler,Male,27,13054,0
10634,Robert Patterson,Female,36,60078,0
10635,Brianna Ortiz,Male,26,133526,1
10636,Heather Stanley,Male,20,68006,1
10637,Mark Harris,Female,32,106840,1
10638,April Jones,Female,27,41108,0
10639,Andrea Quinn,Female,34,50121,0
10640,Dana Benton,Male,27,56258,0
10641,Timothy Pitts,Female,30,66339,1
10642,Danielle Woods,Male,42,38570,0
10643,Michelle Hernandez DDS,Female,41,92690,0
10644,Christopher Brown,Female,23,57679,-1
10645,Carl Russell,Female,55,116463,-1
10646,Alison Booth,Male,45,23149,0
